Board;WhiteNr;WhiteFideId;WhiteName;WhiteElo;WhitePoints;Result;BlackPoints;BlackElo;BlackName;BlackFideId;BlackNr
1;13;;"CRUZ GALVAN MELYZA";0;3.0;1-0;3.0;0;"GUERRA ZAMORA CHRISTOPHER";;22
2;36;;"PASCUAL MANUEL JOSUE GERMA";0;3.0;0-1;3.0;0;"GOMEZ JARQUIN ABDIEL";;17
3;21;;"GONZALEZ PASCUAL EMILY MAR";0;3.0;1-0;3.0;0;"VILLALOBOS PINEDA KEVIN ZA";;59
4;45;;"SANTIAGO ARELLANO IKER EST";0;3.0;0-1;2.5;0;"CORTEZ RUIZ LUIS ARTURO";;12
5;43;;"RUIZ HERNANDEZ OLIVER";0;2.5;1-0;2.0;0;"ALONSO CASTILLO EMMANUEL";;2
6;9;;"CORONA SOTO CARLOS DANIEL";0;2.0;0-1;2.0;0;"OROZCO GOMEZ XIMENA";;35
7;38;;"PEREZ SANCHEZ RICARDO BALA";0;2.0;1/2-1/2;2.0;0;"CRUZ GALVAN RENATA";;14
8;18;;"GOMEZ VENEGAS JAVIN MAXIMI";0;2.0;1-0;2.0;0;"PINEDA ANTONIO YUNERI DEL";;40
9;19;;"GONZALEZ PACHECO ABDIEL YU";0;2.0;0-1;2.0;0;"SANTIAGO OROZCO MATIAS GER";;46
10;39;;"PINEDA ANTONIO YERINE DEL";0;2.0;1-0;2.0;0;"GONZALEZ PASCUAL CECILIA S";;20
11;48;;"SOLIS JIMENEZ HELSIS GERAR";0;2.0;1-0;2.0;0;"HERNANDEZ HERNANDEZ WILLIA";;26
12;29;;"JIMENEZ TOLEDO AXEL";0;2.0;0-1;2.0;0;"VAZQUEZ GUZMAN FERNANDA AZ";;52
13;55;;"VICENTE SANCHEZ LILIA ITZE";0;2.0;1-0;2.0;0;"OLIVERA GUZMAN DAVID";;34
14;31;;"LOPEZ VALDIVIEZO ANGEL FAB";0;1.5;1-0;2.0;0;"VICENTE SANCHEZ RAFAEL";;56
15;7;;"CALVO ALVARADO EMILIO DIDI";0;1.0;0-1;1.5;0;"VARGAS MOYA IVANNA YARAZET";;50
16;1;;"ALONSO CASTILLO EIDEN";0;1.0;1-0;1.0;0;"PEREZ CORDOVA ZAZUEIRA LIL";;37
17;11;;"CORTEZ RUIZ GIOVANA SICARU";0;1.0;1-0;1.0;0;"SANCHEZ BLAS FRANCO LAEL";;44
18;15;;"DIAZ ZAVALA AXEL RICARDO";0;1.0;0-1;1.0;0;"ROSADO ZARATE MARIA JOSÉ";;42
19;51;;"VASQUEZ LOPEZ BARBARA GITZ";0;1.0;0-1;1.0;0;"FUENTES MIJANGOS GERARDO";;16
20;25;;"HENANDEZ HERNANDEZ ALEXIS";0;1.0;0-1;1.0;0;"TOLEDO GOMEZ ZAHIR ISRAEL";;49
21;27;;"HISCOCK PEREZ ISABELLA";0;1.0;1/2-1/2;1.0;0;"VAZQUEZ LOPEZ LUIS ISAIAS";;54
22;47;;"SATURNINO HERNANDEZ FERNAN";0;1.0;1-0;1.0;0;"JIMENEZ ENRIQUEZ SEVERO XA";;28
23;33;;"MOYA JIMENEZ AMAYA";0;1.0;1-0;1.0;0;"VILLALOBOS GOMEZ GILBERTO";;58
24;53;;"VAZQUEZ LOPEZ CALEB NICOLA";0;1.0;1-0;0.0;0;"MORALES RASGADO BIANII";;32
25;23;;"GUZMAN CASTRO GAMALIEL";0;0.0;1-0;0.0;0;"GUZMAN CASTRO WILBERT BENJ";;24
-;3;;"ARAGON GUZMAN EMILIANO";0;1.0;0;;;bye
-;4;;"ARAGON GUZMAN SEBASTIAN";0;0.0;0;;;bye
-;5;;"AVILA TOLEDO ALEJANDRO";0;1.0;0;;;bye
-;6;;"BARTOLO ESTEVA LUIS";0;1.0;0;;;bye
-;8;;"CARRASCO PALOMEC ARATH JOS";0;0.0;0;;;bye
-;10;;"CORTES SANCHEZ JHONATAN YA";0;0.0;0;;;bye
-;30;;"LOPEZ SOLORZANO ANGEL CALE";0;1.0;0;;;bye
-;41;;"RASGADO ORTEGA SHEILA";0;0.0;1;;;pairing allocated bye
-;57;;"VICTORIANO JIMENEZ ERICK";0;1.0;0;;;bye
